Year,Sex,Age,Estimate
2006,Both,7,56935
2006,Male,7,29207
2006,Female,7,27728
2007,Both,7,55109
2007,Male,7,28472
2007,Female,7,26637
2008,Both,7,54117
2008,Male,7,27430
2008,Female,7,26687
2009,Both,7,52490
2009,Male,7,26751
2009,Female,7,25739
2010,Both,7,52713
2010,Male,7,26873
2010,Female,7,25840
2011,Both,7,54406
2011,Male,7,28033
2011,Female,7,26373
2012,Both,7,55485
2012,Male,7,28544
2012,Female,7,26941
2013,Both,7,55999
2013,Male,7,28511
2013,Female,7,27488
2014,Both,7,57299
2014,Male,7,29300
2014,Female,7,27999
2015,Both,7,59905
2015,Male,7,30453
2015,Female,7,29452
2016,Both,7,60336
2016,Male,7,30653
2016,Female,7,29683
2017,Both,7,59011
2017,Male,7,30043
2017,Female,7,28968
2018,Both,7,62094
2018,Male,7,31760
2018,Female,7,30334
1981,Both,8,72378
1981,Male,8,37219
1981,Female,8,35159
1982,Both,8,66999
1982,Male,8,34367
1982,Female,8,32632
1983,Both,8,65167
1983,Male,8,33233
1983,Female,8,31934
1984,Both,8,64015
1984,Male,8,32935
1984,Female,8,31080
1985,Both,8,58494
1985,Male,8,30122
1985,Female,8,28372
1986,Both,8,59038
1986,Male,8,30131
1986,Female,8,28907
1987,Both,8,63152
1987,Male,8,32559
1987,Female,8,30593
1988,Both,8,64896
1988,Male,8,33118
1988,Female,8,31778
1989,Both,8,66508
1989,Male,8,34200
1989,Female,8,32308
1990,Both,8,64867
1990,Male,8,33045
1990,Female,8,31822
1991,Both,8,63495
1991,Male,8,32459
1991,Female,8,31036
1992,Both,8,62159
1992,Male,8,31824
1992,Female,8,30335
1993,Both,8,64467
1993,Male,8,32747
1993,Female,8,31720
1994,Both,8,65791
1994,Male,8,33670
1994,Female,8,32121
1995,Both,8,65210
1995,Male,8,33302
1995,Female,8,31908
1996,Both,8,65929
1996,Male,8,33979
1996,Female,8,31950
1997,Both,8,63538
1997,Male,8,32576
1997,Female,8,30962
1998,Both,8,63441
1998,Male,8,32510
1998,Female,8,30931
1999,Both,8,65259
1999,Male,8,33403
1999,Female,8,31856
2000,Both,8,65149
2000,Male,8,33235
2000,Female,8,31914
2001,Both,8,62593
2001,Male,8,31970
2001,Female,8,30623
2002,Both,8,61183
2002,Male,8,31231
2002,Female,8,29952
2003,Both,8,59513
2003,Male,8,30547
2003,Female,8,28966
2004,Both,8,58953
2004,Male,8,30288
2004,Female,8,28665
2005,Both,8,59774
2005,Male,8,30749
2005,Female,8,29025
2006,Both,8,58184
2006,Male,8,29757
2006,Female,8,28427
2007,Both,8,57352
2007,Male,8,29415
2007,Female,8,27937
2008,Both,8,55376
2008,Male,8,28580
2008,Female,8,26796
2009,Both,8,54320
2009,Male,8,27538
2009,Female,8,26782
2010,Both,8,52562
2010,Male,8,26787
2010,Female,8,25775
2011,Both,8,52686
2011,Male,8,26840
2011,Female,8,25846
2012,Both,8,54447
2012,Male,8,28038
2012,Female,8,26409
2013,Both,8,55568
2013,Male,8,28573
2013,Female,8,26995
2014,Both,8,56156
2014,Male,8,28594
2014,Female,8,27562
2015,Both,8,57571
2015,Male,8,29438
2015,Female,8,28133
2016,Both,8,60184
2016,Male,8,30586
2016,Female,8,29598
2017,Both,8,60624
2017,Male,8,30813
2017,Female,8,29811
2018,Both,8,59207
2018,Male,8,30122
2018,Female,8,29085
1981,Both,9,77976
1981,Male,9,39689
1981,Female,9,38287
1982,Both,9,72148
1982,Male,9,37043
1982,Female,9,35105
1983,Both,9,66811
1983,Male,9,34266
1983,Female,9,32545
1984,Both,9,65132
1984,Male,9,33216
1984,Female,9,31916
1985,Both,9,63864
1985,Male,9,32822
1985,Female,9,31042
1986,Both,9,58389
1986,Male,9,30083
1986,Female,9,28306
1987,Both,9,58905
1987,Male,9,30045
1987,Female,9,28860
1988,Both,9,63007
1988,Male,9,32537
1988,Female,9,30470
1989,Both,9,65053
1989,Male,9,33191
1989,Female,9,31862
1990,Both,9,66696
1990,Male,9,34281
1990,Female,9,32415
1991,Both,9,64841
1991,Male,9,33041
1991,Female,9,31800
1992,Both,9,63294
1992,Male,9,32306
1992,Female,9,30988
1993,Both,9,62223
1993,Male,9,31830
1993,Female,9,30393
1994,Both,9,64799
1994,Male,9,32920
1994,Female,9,31879
1995,Both,9,65808
1995,Male,9,33691
1995,Female,9,32117
1996,Both,9,65121
1996,Male,9,33259
1996,Female,9,31862
1997,Both,9,65797
1997,Male,9,33899
1997,Female,9,31898
1998,Both,9,63435
1998,Male,9,32519
1998,Female,9,30916
1999,Both,9,63512
1999,Male,9,32560
1999,Female,9,30952
2000,Both,9,65231
2000,Male,9,33398
2000,Female,9,31833
2001,Both,9,65024
2001,Male,9,33165
2001,Female,9,31859
2002,Both,9,62693
2002,Male,9,31967
2002,Female,9,30726
2003,Both,9,61400
2003,Male,9,31360
2003,Female,9,30040
2004,Both,9,59772
2004,Male,9,30691
2004,Female,9,29081
2005,Both,9,59355
2005,Male,9,30520
2005,Female,9,28835
2006,Both,9,60028
2006,Male,9,30855
2006,Female,9,29173
2007,Both,9,58571
2007,Male,9,29976
2007,Female,9,28595
2008,Both,9,57639
2008,Male,9,29543
2008,Female,9,28096
2009,Both,9,55667
2009,Male,9,28698
2009,Female,9,26969
2010,Both,9,54494
2010,Male,9,27625
2010,Female,9,26869
2011,Both,9,52610
2011,Male,9,26806
2011,Female,9,25804
2012,Both,9,52774
2012,Male,9,26898
2012,Female,9,25876
2013,Both,9,54504
2013,Male,9,28059
2013,Female,9,26445
2014,Both,9,55761
2014,Male,9,28662
2014,Female,9,27099
2015,Both,9,56353
2015,Male,9,28689
2015,Female,9,27664
2016,Both,9,57846
2016,Male,9,29574
2016,Female,9,28272
2017,Both,9,60420
2017,Male,9,30730
2017,Female,9,29690
2018,Both,9,60824
2018,Male,9,30946
2018,Female,9,29878
1981,Both,10,82869
1981,Male,10,42488
1981,Female,10,40381
1982,Both,10,77717
1982,Male,10,39537
1982,Female,10,38180
1983,Both,10,72062
1983,Male,10,36989
1983,Female,10,35073
1984,Both,10,66682
1984,Male,10,34196
1984,Female,10,32486
1985,Both,10,64990
1985,Male,10,33125
1985,Female,10,31865
1986,Both,10,63646
1986,Male,10,32700
1986,Female,10,30946
1987,Both,10,58332
1987,Male,10,30062
1987,Female,10,28270
1988,Both,10,58762
1988,Male,10,29946
1988,Female,10,28816
1989,Both,10,63156
1989,Male,10,32602
1989,Female,10,30554
1990,Both,10,65309
1990,Male,10,33296
1990,Female,10,32013
1991,Both,10,66772
1991,Male,10,34304
1991,Female,10,32468
1992,Both,10,64583
1992,Male,10,32900
1992,Female,10,31683
1993,Both,10,63146
1993,Male,10,32190
1993,Female,10,30956
1994,Both,10,62345
1994,Male,10,31850
1994,Female,10,30495
1995,Both,10,64953
1995,Male,10,32981
1995,Female,10,31972
1996,Both,10,65669
1996,Male,10,33602
1996,Female,10,32067
1997,Both,10,65101
1997,Male,10,33268
1997,Female,10,31833
1998,Both,10,65709
1998,Male,10,33869
1998,Female,10,31840
1999,Both,10,63395
1999,Male,10,32550
1999,Female,10,30845
2000,Both,10,63532
2000,Male,10,32576
2000,Female,10,30956
2001,Both,10,65249
2001,Male,10,33401
2001,Female,10,31848
2002,Both,10,65247
2002,Male,10,33148
2002,Female,10,32099
2003,Both,10,62774
2003,Male,10,31959
2003,Female,10,30815
2004,Both,10,61654
2004,Male,10,31484
2004,Female,10,30170
2005,Both,10,60151
2005,Male,10,30903
2005,Female,10,29248
2006,Both,10,59642
2006,Male,10,30643
2006,Female,10,28999
2007,Both,10,60453
2007,Male,10,31073
2007,Female,10,29380
2008,Both,10,58836
2008,Male,10,30111
2008,Female,10,28725
2009,Both,10,57896
2009,Male,10,29703
2009,Female,10,28193
2010,Both,10,55911
2010,Male,10,28805
2010,Female,10,27106
2011,Both,10,54673
2011,Male,10,27743
2011,Female,10,26930
2012,Both,10,52634
2012,Male,10,26815
2012,Female,10,25819
2013,Both,10,52908
2013,Male,10,26983
2013,Female,10,25925
2014,Both,10,54683
2014,Male,10,28153
2014,Female,10,26530
2015,Both,10,55960
2015,Male,10,28779
2015,Female,10,27181
2016,Both,10,56634
2016,Male,10,28838
2016,Female,10,27796
2017,Both,10,58057
2017,Male,10,29718
2017,Female,10,28339
2018,Both,10,60578
2018,Male,10,30815
2018,Female,10,29763
1981,Both,11,83412
1981,Male,11,42650
1981,Female,11,40762
1982,Both,11,82520
1982,Male,11,42220
1982,Female,11,40300
1983,Both,11,77516
1983,Male,11,39422
1983,Female,11,38094
1984,Both,11,71908
1984,Male,11,36878
